Id,fid,ContPop,pob
HGDP01258,1906,NorthAfrica,
HGDP01270,1907,NorthAfrica,
HGDP01282,1908,NorthAfrica,
HGDP00618,1909,MiddleEast,
HGDP00630,1910,MiddleEast,
HGDP01406,1911,Subsahara,
HGDP01028,1912,Subsahara,
HGDP01261,1913,NorthAfrica,
HGDP01273,1914,NorthAfrica,
HGDP00609,1915,MiddleEast,
HGDP00621,1916,MiddleEast,
HGDP00633,1917,MiddleEast,
HGDP01322,1918,EastAsia,
HGDP01333,1919,EastAsia,
HGDP01345,1920,EastAsia,
HGDP00956,1921,EastAsia,
HGDP00968,1922,EastAsia,
HGDP00757,1923,EastAsia,
HGDP00768,1924,EastAsia,
HGDP00843,1925,America,
HGDP01397,1926,Europe,
HGDP00882,1927,Europe,
HGDP00894,1928,Europe,
HGDP01038,1929,America,
HGDP01050,1930,America,
HGDP00854,1931,America,
HGDP00866,1932,America,
HGDP00878,1933,America,
HGDP01399,1934,Europe,
HGDP00884,1935,Europe,
HGDP00896,1936,Europe,
HGDP01040,1937,America,
HGDP01052,1938,America,
HGDP00856,1939,America,
HGDP00868,1940,America,
HGDP00702,1941,America,
HGDP00970,1942,America,
HGDP01005,1943,America,
HGDP01017,1944,America,
HGDP00840,1945,America,
HGDP00852,1946,America,
HGDP01006,1947,America,
HGDP01018,1948,America,
HGDP00841,1949,America,
HGDP00996,1950,America,
HGDP01008,1951,America,
HGDP00721,1952,EastAsia,
HGDP00551,1953,Oceania,
HGDP00518,1954,Europe,
HGDP00530,1955,Europe,
HGDP01359,1956,Europe,
HGDP01400,1957,Europe,
HGDP00885,1958,Europe,
HGDP00897,1959,Europe,
HGDP01041,1960,America,
HGDP01053,1961,America,
HGDP00857,1962,America,
HGDP00869,1963,America,
HGDP00703,1964,America,
HGDP00995,1965,America,
HGDP01007,1966,America,
HGDP01019,1967,America,
HGDP00842,1968,America,
HGDP00997,1969,America,
HGDP01009,1970,America,
HGDP00830,1971,America,
HGDP00844,1972,America,
HGDP00346,1973,CentralSouthAsia,
HGDP00203,1974,CentralSouthAsia,
HGDP01364,1975,Europe,
HGDP01375,1976,Europe,
HGDP00670,1977,Europe,
HGDP01069,1978,Europe,
HGDP01177,1979,Europe,
HGDP00797,1980,Europe,
HGDP00810,1981,Europe,
HGDP01401,1982,Europe,
HGDP00886,1983,Europe,
HGDP00898,1984,Europe,
HGDP01042,1985,America,
HGDP01054,1986,America,
HGDP00858,1987,America,
HGDP00870,1988,America,
HGDP00704,1989,America,
HGDP01402,1990,Europe,
HGDP00887,1991,Europe,
HGDP00899,1992,Europe,
HGDP01043,1993,America,
HGDP01055,1994,America,
HGDP00859,1995,America,
HGDP00871,1996,America,
HGDP00705,1997,America,
HGDP01398,1998,Europe,
HGDP00883,1999,Europe,
HGDP00895,2000,Europe,
HGDP01039,2001,America,
HGDP01051,2002,America,
HGDP00855,2003,America,
HGDP00867,2004,America,
HGDP01403,2005,Europe,
HGDP00888,2006,Europe,
HGDP00900,2007,Europe,
HGDP01044,2008,America,
HGDP01056,2009,America,
HGDP00860,2010,America,
HGDP00872,2011,America,
HGDP00706,2012,America,
HGDP00901,2013,Europe,
HGDP01045,2014,America,
HGDP01057,2015,America,
HGDP00861,2016,America,
HGDP00873,2017,America,
HGDP00707,2018,America,
HGDP01404,2019,Europe,
HGDP00889,2020,Europe,
HGDP01151,2021,Europe,
HGDP01330,2022,EastAsia,
HGDP00528,2023,Europe,
HGDP00719,2024,EastAsia,
HGDP01161,2025,Europe,
HGDP00828,2026,EastAsia,
HGDP00965,2027,EastAsia,
HGDP00516,2028,Europe,
HGDP01365,2029,Europe,
HGDP00766,2030,EastAsia,
HGDP00657,2031,Oceania,
HGDP01354,2032,EastAsia,
HGDP00798,2033,Europe,
HGDP01342,2034,EastAsia,
HGDP00824,2035,Oceania,
HGDP01319,2036,EastAsia,
HGDP01357,2037,Europe,
HGDP00549,2038,Oceania,
HGDP00953,2039,EastAsia,
HGDP01070,2040,Europe,
HGDP01376,2041,Europe,
HGDP00671,2042,Europe,
HGDP01024,2043,EastAsia,
